Sno,Accountid,score,Dec,Jan,Feb,Mar,Apr,May
1,1.001E+11,74,NonOTR,Default,Default,Default,Default,Default
2,1.001E+11,70,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
3,1.001E+11,49,NonOTR,Default,Default,Default,Default,Default
4,1.001E+11,24,NonOTR,Default,Default,Default,Default,Default
5,1.001E+11,40,Default,Default,Default,Default,Default,Default
6,1.001E+11,40,OTR,OTR,Default,Default,Default,Default
7,1.001E+11,52,OTR,Default,Default,Default,Default,Default
8,1.001E+11,55,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
9,1.001E+11,39,OTR,NonOTR,Default,Default,Default,Default
10,1.001E+11,64,Default,Default,Default,Default,Default,Default
11,1.001E+11,51,Default,Default,Default,Default,Default,Default
12,1.001E+11,46,OTR,Default,Default,Default,Default,Default
13,1.00101E+11,53,OTR,Default,Default,Default,Default,Default
14,1.001E+11,66,Default,Default,Default,Default,Default,Default
15,1.001E+11,82,NonOTR,Default,Default,Default,Default,Default
16,1.00101E+11,53,NonOTR,NonOTR,Default,Default,Default,Default
17,1.001E+11,74,Default,Default,Default,Default,Default,Default
18,1.001E+11,75,Default,Default,Default,Default,Default,Default
19,1.001E+11,44,NonOTR,Default,Default,Default,Default,Default
20,1.001E+11,53,Default,Default,Default,Default,Default,Default
21,1.001E+11,78,Default,Default,Default,Default,Default,Default
22,1.001E+11,66,OTR,NonOTR,Default,Default,Default,Default
23,1.001E+11,77,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
24,1.001E+11,85,OTR,Default,Default,Default,Default,Default
25,1.001E+11,83,Default,Default,Default,Default,Default,Default
26,1.001E+11,74,OTR,Default,Default,Default,Default,Default
27,1.001E+11,44,OTR,NonOTR,Default,Default,Default,Default
28,1.001E+11,81,NonOTR,OTR,Default,Default,Default,Default
29,1.001E+11,38,NonOTR,NonOTR,Default,Default,Default,Default
30,1.001E+11,31,NonOTR,NonOTR,Default,Default,Default,Default
31,1.001E+11,62,NonOTR,NonOTR,Default,Default,Default,Default
32,1.001E+11,44,OTR,OTR,Default,Default,Default,Default
33,1.001E+11,55,NonOTR,NonOTR,OTR,OTR,OTR,OTR
34,1.001E+11,63,NonOTR,NonOTR,Default,Default,Default,Default
35,1.001E+11,54,Default,Default,Default,Default,Default,Default
36,1.001E+11,46,Default,Default,Default,Default,Default,Default
37,1.001E+11,28,NonOTR,NonOTR,OTR,OTR,OTR,OTR
38,1.001E+11,40,OTR,OTR,Default,Default,Default,Default
39,1.001E+11,39,OTR,OTR,Default,Default,Default,Default
40,1.001E+11,43,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
41,1.001E+11,63,NonOTR,NonOTR,Default,Default,Default,Default
42,1.001E+11,27,Default,Default,Default,Default,Default,Default
43,1.001E+11,58,NonOTR,NonOTR,Default,Default,Default,Default
44,1.001E+11,74,Default,Default,Default,Default,Default,Default
45,1.001E+11,73,Default,Default,Default,Default,Default,Default
46,1.001E+11,34,Default,Default,Default,Default,Default,Default
47,1.001E+11,59,Default,Default,Default,Default,Default,Default
48,1.001E+11,46,Default,Default,Default,Default,Default,Default
49,1.001E+11,71,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
50,1.001E+11,64,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
51,1.001E+11,63,Default,Default,Default,Default,Default,Default
52,1.00101E+11,67,Default,Default,Default,Default,Default,Default
53,1.001E+11,54,Default,Default,Default,Default,Default,Default
54,1.001E+11,65,NonOTR,NonOTR,Default,Default,Default,Default
55,1.001E+11,44,Default,Default,Default,Default,Default,Default
56,1.001E+11,79,Default,Default,Default,Default,Default,Default
57,1.001E+11,75,Default,Default,Default,Default,Default,Default
58,1.00101E+11,33,OTR,Default,Default,Default,Default,Default
59,1.001E+11,44,Default,Default,Default,Default,Default,Default
60,1.001E+11,81,OTR,OTR,Default,Default,Default,Default
61,1.001E+11,74,Default,Default,Default,Default,Default,Default
62,1.001E+11,59,NonOTR,OTR,NonOTR,NonOTR,NonOTR,OTR
63,1.001E+11,51,Default,Default,Default,Default,Default,Default
64,1.001E+11,52,Default,Default,Default,Default,Default,Default
65,1.001E+11,45,OTR,NonOTR,Default,Default,Default,Default
66,1.001E+11,56,OTR,Default,Default,Default,Default,Default
67,1.001E+11,38,Default,Default,Default,Default,Default,Default
68,1.001E+11,85,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
69,1.001E+11,76,Default,Default,Default,Default,Default,Default
70,1.00101E+11,60,Default,Default,Default,Default,Default,Default
71,1.001E+11,49,NonOTR,NonOTR,OTR,Default,Default,Default
72,1.001E+11,79,Default,Default,Default,Default,Default,Default
73,1.001E+11,43,Default,Default,Default,Default,Default,Default
74,1.001E+11,48,Default,Default,Default,Default,Default,Default
75,1.001E+11,25,OTR,OTR,NonOTR,OTR,OTR,OTR
76,1.001E+11,76,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
77,1.001E+11,78,Default,Default,Default,Default,Default,Default
78,1.001E+11,56,NonOTR,NonOTR,NonOTR,NonOTR,OTR,OTR
79,1.00101E+11,54,NonOTR,Default,Default,Default,Default,Default
80,1.001E+11,77,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
81,1.001E+11,68,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
82,1.001E+11,69,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
83,1.001E+11,43,Default,Default,Default,Default,Default,Default
84,1.001E+11,55,OTR,OTR,Default,Default,Default,Default
85,1.001E+11,46,NonOTR,NonOTR,OTR,OTR,OTR,OTR
86,1.001E+11,41,NonOTR,NonOTR,NonOTR,Default,Default,Default
87,1.001E+11,65,OTR,OTR,OTR,Default,Default,Default
88,1.00101E+11,44,OTR,OTR,OTR,Default,Default,Default
89,1.001E+11,48,NonOTR,NonOTR,Default,Default,Default,Default
90,1.001E+11,71,OTR,OTR,Default,Default,Default,Default
91,1.001E+11,71,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
92,1.001E+11,41,Default,Default,Default,Default,Default,Default
